title,rating
"1,000 Places to See Before You Die",5
A Flight of Arrows (The Pathfinders #2),5
A Spy's Devotion (The Regency Spies of London #1),5
A Time of Torment (Charlie Parker #14),5
Between Shades of Gray,5
Mrs. Houdini,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5
The Girl You Lost,5
The Passion of Dolssa,5
The Red Tent,5
The Silkworm (Cormoran Strike #2),5
Voyager (Outlander #3),5
What Happened on Beale Street (Secrets of the South Mysteries #2),5
While You Were Mine,5
A Paris Apartment,4
A Year in Provence (Provence #1),4
Delivering the Truth (Quaker Midwife Mystery #1),4
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4
Lost Among the Living,4
Murder at the 42nd Street Library (Raymond Ambler #1),4
Sharp Objects,4
The Marriage of Opposites,4
The Murder of Roger Ackroyd (Hercule Poirot #4),4
The Mysterious Affair at Styles (Hercule Poirot #1),4
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4
The Past Never Ends,4
World Without End (The Pillars of the Earth #2),4
